Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung,stimme,wie_SPD,wie_CDU/CSU,wie_BÜ90/GR,wie_FDP,wie_AfD,wie_DIE LINKE.,wie_Fraktionslos
20,92,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein,False,True,False,False,True,True,True
20,92,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein,False,True,False,False,True,True,True
20,92,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein,False,True,False,False,True,True,True
20,92,1,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung,False,False,False,False,False,False,False
20,92,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja,True,False,True,True,False,False,False
20,92,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben,False,False,False,False,False,False,False
20,93,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein,False,False,False,False,True,True,True
20,93,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein,False,False,False,False,True,True,True
20,93,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein,False,False,False,False,True,True,True
20,93,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein,False,False,False,False,True,True,True
20,93,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja,True,True,True,True,False,False,False
20,93,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben,False,False,False,False,False,False,False
20,94,1,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja,True,True,True,True,True,False,False
20,94,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein,False,False,False,False,False,True,True
20,94,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein,False,False,False,False,False,True,True
20,94,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein,False,False,False,False,False,True,True
20,94,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja,True,True,True,True,True,False,False
20,94,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben,False,False,False,False,False,False,False
20,95,1,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja,False,True,False,False,False,False,False
20,95,1,Fraktionslos,Farle,Robert,,0,0,1,0,0,Robert Farle,,Enthaltung,False,False,False,False,True,False,True
20,95,1,Fraktionslos,Helferich,Matthias,,0,0,0,0,1,Matthias Helferich,,nichtabgegeben,False,False,False,False,False,False,False
20,95,1,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung,False,False,False,False,True,False,True
20,95,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein,True,False,True,True,False,True,False
20,95,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben,False,False,False,False,False,False,False
20,95,2,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja,False,True,False,False,True,False,True
20,95,2,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja,False,True,False,False,True,False,True
20,95,2,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja,False,True,False,False,True,False,True
20,95,2,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja,False,True,False,False,True,False,True
20,95,2,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein,True,False,True,True,False,True,False
20,95,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben,False,False,False,False,False,False,False
20,96,1,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben,False,False,False,False,False,False,True
20,96,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein,False,False,False,False,True,False,False
20,96,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein,False,False,False,False,True,False,False
20,96,1,Fraktionslos,Huber,Johannes,,0,0,0,0,1,Johannes Huber,,nichtabgegeben,False,False,False,False,False,False,True
20,96,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja,True,True,True,True,False,True,False
20,96,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben,False,False,False,False,False,False,True
20,97,2,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein,False,True,False,False,True,True,True
20,97,2,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein,False,True,False,False,True,True,True
20,97,2,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein,False,True,False,False,True,True,True
20,97,2,Fraktionslos,Huber,Johannes,,0,0,0,0,1,Johannes Huber,,nichtabgegeben,False,False,False,False,False,False,False
20,97,2,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja,True,False,True,True,False,False,False
20,97,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben,False,False,False,False,False,False,False
20,99,1,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja,True,True,True,True,True,True,True
20,99,1,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja,True,True,True,True,True,True,True
20,99,1,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja,True,True,True,True,True,True,True
20,99,1,Fraktionslos,Huber,Johannes,,0,0,0,0,1,Johannes Huber,,nichtabgegeben,False,False,False,False,False,False,False
20,99,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja,True,True,True,True,True,True,True
